unix,low,high,open,close,volume,date,vol_fiat
1637193600,0.229,0.2417,0.2378,0.2316,98150387.6,2021-11-18,22731629.76816
1637107200,0.2302,0.2414,0.2371,0.2377,246023192.2,2021-11-17,58479712.78594
1637020800,0.2237,0.2568,0.2568,0.2371,409872429.4,2021-11-16,97180753.01074
1636934400,0.2555,0.2653,0.263,0.2567,187244743.9,2021-11-15,48065725.75913
1636848000,0.2596,0.2718,0.2613,0.2629,217418657.3,2021-11-14,57159365.00417001
1636761600,0.2544,0.2624,0.2596,0.2612,145148491.1,2021-11-13,37912785.875319995
1636675200,0.2489,0.2686,0.2606,0.2596,318056497.4,2021-11-12,82567466.72503999
1636588800,0.2534,0.2717,0.2556,0.2606,272900616.5,2021-11-11,71117900.6599
1636502400,0.2378,0.2774,0.2737,0.2557,491370388.4,2021-11-10,125643408.31387998
1636416000,0.2715,0.2906,0.2821,0.2737,454484692.9,2021-11-09,124392460.44672999
1636329600,0.2647,0.2975,0.2667,0.2821,723761754.9,2021-11-08,204173191.05729002
1636243200,0.2587,0.2699,0.262,0.2667,197626340.2,2021-11-07,52706944.931339994
1636156800,0.2504,0.2679,0.2611,0.2621,256711767.0,2021-11-06,67284154.1307
1636070400,0.2569,0.271,0.2631,0.261,267711434.6,2021-11-05,69872684.4306
1635984000,0.2542,0.271,0.269,0.2631,375449920.2,2021-11-04,98780874.00462
1635897600,0.2629,0.2777,0.2743,0.269,441059901.1,2021-11-03,118645113.39590001
1635811200,0.2645,0.281,0.2718,0.2742,452295999.6,2021-11-02,124019563.09032
1635724800,0.2636,0.2865,0.2803,0.2718,537972881.6,2021-11-01,146221029.21888
1635638400,0.2523,0.2853,0.2692,0.2802,832342399.1,2021-10-31,233222340.22782
1635552000,0.2578,0.2949,0.288,0.2691,682148981.7,2021-10-30,183566290.97547
1635465600,0.277,0.3079,0.2998,0.288,1096988764.3,2021-10-29,315932764.1184
1635379200,0.2326,0.34,0.2381,0.2997,3547278230.1,2021-10-28,1063119285.5609701
1635292800,0.2202,0.2636,0.256,0.238,1085324210.3,2021-10-27,258307162.05139998
1635206400,0.252,0.2743,0.2649,0.2559,509754303.0,2021-10-26,130446126.1377
1635120000,0.2578,0.2806,0.2757,0.265,578483998.3,2021-10-25,153298259.5495
1635033600,0.2458,0.2846,0.251,0.2756,1015028156.3,2021-10-24,279741759.87628
1634947200,0.2405,0.2538,0.2444,0.2511,235020125.6,2021-10-23,59013553.538159996
1634860800,0.2349,0.2534,0.2423,0.2445,354479657.1,2021-10-22,86670276.16095
1634774400,0.2406,0.2585,0.2547,0.2424,332634073.2,2021-10-21,80630499.34368
1634688000,0.242,0.262,0.2453,0.2548,373242733.8,2021-10-20,95102248.57224001
1634601600,0.24,0.255,0.2473,0.2454,279025037.6,2021-10-19,68472744.22704001
1634515200,0.2369,0.2728,0.2376,0.2473,712575910.4,2021-10-18,176220022.64192
1634428800,0.2256,0.242,0.2373,0.2377,245011411.6,2021-10-17,58239212.537319995
1634342400,0.2337,0.2455,0.2342,0.2373,237927977.3,2021-10-16,56460309.01329
1634256000,0.2243,0.2435,0.2326,0.2342,345225790.5,2021-10-15,80851880.13509999
1634169600,0.2312,0.2404,0.2327,0.2327,242876683.4,2021-10-14,56517404.22718
1634083200,0.2206,0.2342,0.2259,0.2328,232080787.5,2021-10-13,54028407.33
1633996800,0.216,0.2318,0.2313,0.2262,227704427.6,2021-10-12,51506741.52312
1633910400,0.2249,0.2394,0.2288,0.2312,251479972.1,2021-10-11,58142169.54951999
1633824000,0.2262,0.2486,0.2466,0.2288,209423964.0,2021-10-10,47916202.9632
1633737600,0.241,0.2526,0.2441,0.2466,230477283.4,2021-10-09,56835698.086440004
1633651200,0.2415,0.2548,0.2429,0.2441,336989066.6,2021-10-08,82259031.15706001
1633564800,0.2357,0.2568,0.2542,0.2428,602429714.1,2021-10-07,146269934.58348
1633478400,0.2423,0.2718,0.2519,0.2542,821122818.4,2021-10-06,208729420.43727997
1633392000,0.2327,0.2687,0.2414,0.2519,846596694.9,2021-10-05,213257707.44531
1633305600,0.2126,0.2491,0.2219,0.2415,802734694.7,2021-10-04,193860428.77005002
1633219200,0.2157,0.2266,0.2187,0.2218,188564520.6,2021-10-03,41823610.66908
1633132800,0.2152,0.2253,0.2228,0.2187,198897049.0,2021-10-02,43498784.6163
1633046400,0.2018,0.2255,0.2043,0.2228,248002051.9,2021-10-01,55254857.16332
1632960000,0.1976,0.2059,0.1987,0.2042,138736370.8,2021-09-30,28329966.91736
1632873600,0.1948,0.2043,0.1965,0.1987,171322022.7,2021-09-29,34041685.91049
1632787200,0.1961,0.2026,0.1998,0.1968,155875375.7,2021-09-28,30676273.93776
1632700800,0.1997,0.2095,0.205,0.1999,144394687.3,2021-09-27,28864497.991270002
1632614400,0.1943,0.2091,0.2084,0.2051,211842463.3,2021-09-26,43448889.222830005
1632528000,0.2045,0.2127,0.2094,0.2084,200179904.7,2021-09-25,41717492.139479995
1632441600,0.1967,0.2292,0.2247,0.2092,384603240.4,2021-09-24,80458997.89167999
1632355200,0.2176,0.2274,0.2245,0.2246,228485486.4,2021-09-23,51317840.24544
1632268800,0.1999,0.2306,0.201,0.2245,443720076.6,2021-09-22,99615157.1967
1632182400,0.1977,0.2185,0.2087,0.2009,364206027.1,2021-09-21,73168990.84439
1632096000,0.1989,0.2335,0.2329,0.2087,483209883.1,2021-09-20,100845902.60297
1632009600,0.2308,0.2415,0.2414,0.2329,117703007.4,2021-09-19,27413030.42346
1631923200,0.2381,0.2476,0.2402,0.2414,143157357.6,2021-09-18,34558186.124639995
1631836800,0.2375,0.26,0.2419,0.2401,410488863.2,2021-09-17,98558376.05432001
1631750400,0.2332,0.248,0.2478,0.242,184899915.5,2021-09-16,44745779.551
1631664000,0.2391,0.2484,0.2406,0.2477,110482728.7,2021-09-15,27366571.89899
1631577600,0.2338,0.2417,0.2359,0.2407,143879242.2,2021-09-14,34631733.59754
1631491200,0.2284,0.2522,0.2502,0.236,337437100.6,2021-09-13,79635155.7416
1631404800,0.2388,0.2554,0.2412,0.2502,184559604.6,2021-09-12,46176813.07092
1631318400,0.2377,0.248,0.2398,0.2411,138158164.3,2021-09-11,33309933.412730005
1631232000,0.2355,0.262,0.2527,0.2398,290362017.6,2021-09-10,69628811.82048
1631145600,0.2486,0.2597,0.2566,0.2527,269432873.5,2021-09-09,68085687.13345
1631059200,0.2334,0.2637,0.2556,0.2567,515368548.8,2021-09-08,132295106.47695999
1630972800,0.21,0.3115,0.3092,0.2557,940077370.9,2021-09-07,240377783.73913
1630886400,0.3002,0.3199,0.3148,0.3091,295006262.7,2021-09-06,91186435.80057
1630800000,0.2963,0.3159,0.2995,0.3147,352644709.1,2021-09-05,110977289.95377
1630713600,0.2933,0.3087,0.2963,0.2994,285715298.7,2021-09-04,85543160.43078
1630627200,0.2874,0.305,0.2948,0.2963,374466691.5,2021-09-03,110954480.69145
1630540800,0.2919,0.31,0.2944,0.2948,532380997.3,2021-09-02,156945918.00404
1630454400,0.2731,0.295,0.2783,0.2945,340668630.5,2021-09-01,100326911.68225
1630368000,0.27,0.2861,0.2721,0.2783,265798812.0,2021-08-31,73971809.3796
1630281600,0.27,0.2903,0.2813,0.272,333045083.5,2021-08-30,90588262.71200001
1630195200,0.2766,0.2922,0.2863,0.2813,238108435.3,2021-08-29,66979902.84989
1630108800,0.2831,0.2998,0.2946,0.2863,154141454.1,2021-08-28,44130698.30883
1630022400,0.265,0.2953,0.2684,0.2948,253519860.7,2021-08-27,74737654.93436
1629936000,0.2643,0.2962,0.2926,0.2684,337735827.8,2021-08-26,90648296.18152002
1629849600,0.2795,0.297,0.2888,0.2924,251441677.7,2021-08-25,73521546.55948
1629763200,0.276,0.3196,0.3179,0.2888,410135197.3,2021-08-24,118447044.98024
1629676800,0.3128,0.328,0.3149,0.3179,312992689.9,2021-08-23,99500376.11921
1629590400,0.3052,0.3217,0.3171,0.3149,200280984.5,2021-08-22,63068482.01905
1629504000,0.3145,0.3296,0.3276,0.3173,277716902.0,2021-08-21,88119573.0046
1629417600,0.3136,0.3349,0.3178,0.3273,393858940.9,2021-08-20,128910031.35656999
1629331200,0.2937,0.3192,0.3032,0.3176,466531914.1,2021-08-19,148170535.91816
1629244800,0.2783,0.326,0.2993,0.3031,887046305.6,2021-08-18,268863735.22736
1629158400,0.2942,0.34,0.3194,0.2993,772826988.2,2021-08-17,231307117.56826
1629072000,0.31,0.3519,0.3404,0.3194,919382770.8,2021-08-16,293650856.99352
1628985600,0.2875,0.35,0.2939,0.3403,1112193496.0,2021-08-15,378479446.6888
1628899200,0.276,0.2988,0.287,0.2939,562202841.7,2021-08-14,165231415.17563
1628812800,0.2616,0.2877,0.2642,0.287,483859802.7,2021-08-13,138867763.37489998
1628726400,0.2516,0.2948,0.2646,0.264,745005518.7,2021-08-12,196681456.93680003
1628640000,0.2565,0.2829,0.2576,0.2647,657443584.1,2021-08-11,174025316.71127
1628553600,0.2452,0.2633,0.2561,0.2575,456380783.0,2021-08-10,117518051.6225
1628467200,0.2302,0.267,0.24,0.2562,653554605.6,2021-08-09,167440689.95472
1628380800,0.2347,0.284,0.2622,0.24,951623526.0,2021-08-08,228389646.23999998
1628294400,0.2036,0.2634,0.2049,0.2622,800423678.5,2021-08-07,209871088.5027
1628208000,0.1984,0.2121,0.2011,0.2049,180216995.9,2021-08-06,36926462.45991
1628121600,0.1944,0.2024,0.2015,0.201,128633579.9,2021-08-05,25855349.559900004
1628035200,0.1943,0.2032,0.1963,0.2014,108608848.8,2021-08-04,21873822.14832
1627948800,0.1932,0.2051,0.2034,0.1962,135048499.9,2021-08-03,26496515.68038
1627862400,0.2016,0.2099,0.2043,0.2034,107019763.4,2021-08-02,21767819.87556
1627776000,0.201,0.2181,0.2079,0.2043,172196420.4,2021-08-01,35179728.68772
1627689600,0.205,0.2146,0.209,0.2079,108532677.2,2021-07-31,22563943.58988
1627603200,0.196,0.2107,0.2048,0.2089,168695117.4,2021-07-30,35240410.02486
1627516800,0.2004,0.2066,0.2057,0.2049,108692039.1,2021-07-29,22270998.811589997
1627430400,0.2016,0.2138,0.2058,0.2059,186971251.7,2021-07-28,38497380.72503
1627344000,0.1952,0.2096,0.2039,0.2059,226006096.8,2021-07-27,46534655.33112
1627257600,0.1968,0.2332,0.1981,0.2039,626081630.9,2021-07-26,127658044.54051
1627171200,0.1912,0.2009,0.1971,0.1981,121896004.0,2021-07-25,24147598.3924
1627084800,0.1913,0.2046,0.1951,0.1971,165000795.3,2021-07-24,32521656.75363
1626998400,0.1832,0.1996,0.1913,0.195,144665301.8,2021-07-23,28209733.851000004
1626912000,0.1863,0.1965,0.1906,0.1914,145232846.5,2021-07-22,27797566.8201
1626825600,0.1683,0.215,0.1706,0.1905,485064387.6,2021-07-21,92404765.83780001
1626739200,0.16,0.18,0.1738,0.1706,218925708.2,2021-07-20,37348725.81892
1626652800,0.1704,0.1844,0.1817,0.1737,141656397.5,2021-07-19,24605716.24575
1626566400,0.1803,0.1963,0.1876,0.1817,140641638.8,2021-07-18,25554585.76996
1626480000,0.169,0.2059,0.1721,0.1876,283758045.1,2021-07-17,53233009.26076
1626393600,0.1711,0.1883,0.1853,0.1721,146625046.0,2021-07-16,25234170.4166
1626307200,0.1803,0.2008,0.1975,0.1853,123286255.7,2021-07-15,22844943.18121
1626220800,0.1874,0.2047,0.2,0.1976,140524632.0,2021-07-14,27767667.2832
1626134400,0.1975,0.2096,0.2078,0.2,95276373.8,2021-07-13,19055274.76
1626048000,0.204,0.2191,0.216,0.2078,78345899.8,2021-07-12,16280277.97844
1625961600,0.2107,0.2192,0.2138,0.2159,47077254.7,2021-07-11,10163979.289730001
1625875200,0.2099,0.228,0.2196,0.2139,95754193.0,2021-07-10,20481821.8827
1625788800,0.1955,0.2298,0.2072,0.2196,236319196.6,2021-07-09,51895695.573359996
1625702400,0.2017,0.2249,0.224,0.2072,195477532.4,2021-07-08,40502944.71328
1625616000,0.2209,0.2386,0.2342,0.2239,107956123.5,2021-07-07,24171376.05165
1625529600,0.2294,0.2422,0.2312,0.2342,88550837.6,2021-07-06,20738606.165919997
1625443200,0.2262,0.2466,0.2466,0.2312,100615850.7,2021-07-05,23262384.68184
1625356800,0.2433,0.2528,0.2465,0.2467,66153102.1,2021-07-04,16319970.28807
1625270400,0.242,0.2502,0.2453,0.2465,66914583.1,2021-07-03,16494444.73415
1625184000,0.2385,0.2489,0.2438,0.2452,111923201.4,2021-07-02,27443568.983280003
1625097600,0.2383,0.2619,0.2539,0.2441,164261335.3,2021-07-01,40096191.94673
1625011200,0.2378,0.2641,0.2635,0.2541,184596444.7,2021-06-30,46905956.59827
1624924800,0.2527,0.2758,0.2571,0.2636,195143202.1,2021-06-29,51439748.07356
1624838400,0.2506,0.2669,0.2646,0.2572,171045051.3,2021-06-28,43992787.19436
1624752000,0.2403,0.2677,0.2458,0.2647,180482566.4,2021-06-27,47773735.32608
1624665600,0.2306,0.2557,0.2374,0.2459,208364317.6,2021-06-26,51236785.69784
1624579200,0.2285,0.29,0.264,0.2375,645832694.1,2021-06-25,153385264.84875
1624492800,0.2218,0.27,0.2349,0.264,351286805.7,2021-06-24,92739716.7048
1624406400,0.1805,0.2495,0.1909,0.2349,564383669.4,2021-06-23,132573723.94206
1624320000,0.1633,0.2175,0.1787,0.1909,794429143.4,2021-06-22,151656523.47506
1624233600,0.1643,0.2811,0.2803,0.1788,791737076.0,2021-06-21,141562589.18879998
1624147200,0.255,0.2896,0.2858,0.2803,158647350.2,2021-06-20,44468852.26105999
1624060800,0.2856,0.298,0.2935,0.2856,57112283.0,2021-06-19,16311268.0248
1623974400,0.2799,0.3078,0.3062,0.2934,176036609.4,2021-06-18,51649141.197960004
1623888000,0.3028,0.3141,0.3078,0.3064,56543539.4,2021-06-17,17324940.47216
1623801600,0.3051,0.3213,0.3204,0.3077,82167983.9,2021-06-16,25283088.64603
1623715200,0.3165,0.3307,0.3277,0.3204,83817626.3,2021-06-15,26855167.46652
1623628800,0.3196,0.3377,0.3243,0.3276,93716865.3,2021-06-14,30701645.07228
1623542400,0.3077,0.3306,0.3123,0.3243,73923729.4,2021-06-13,23973465.44442
1623456000,0.3011,0.3192,0.3189,0.3121,94733927.0,2021-06-12,29566458.616699997
1623369600,0.311,0.3343,0.3262,0.3189,132298372.1,2021-06-11,42189950.86269
1623283200,0.3228,0.3455,0.3437,0.3261,144170835.3,2021-06-10,47014109.391330004
1623196800,0.3125,0.3548,0.3264,0.3436,197780888.9,2021-06-09,67957513.42604001
1623110400,0.2959,0.3422,0.3317,0.3264,287575509.5,2021-06-08,93864646.30080001
1623024000,0.3274,0.38,0.3719,0.3315,205450202.3,2021-06-07,68106742.06245
1622937600,0.3669,0.3774,0.3718,0.3717,125063397.2,2021-06-06,46486064.73924
1622851200,0.3598,0.3948,0.3769,0.3718,221827648.1,2021-06-05,82475519.56358
1622764800,0.35,0.4039,0.4015,0.3769,570165109.2,2021-06-04,214895229.65748003
1622678400,0.3779,0.4875,0.4875,0.4015,190111721.7,2021-06-03,76329856.26255
