unix,low,high,open,close,volume,date,vol_fiat
1637193600,213.46,232.31,229.64,216.47,278171.15798185,2021-11-18,60215710.56833106
1637107200,218.23,235.49,230.48,229.57,537422.03605793,2021-11-17,123375976.81781898
1637020800,223.13,263.2,262.97,230.37,816802.47016915,2021-11-16,188166785.05286708
1636934400,259.2,281.46,279.39,263.05,420366.82395619,2021-11-15,110577493.04167579
1636848000,248.4,279.7,257.74,279.36,472688.51836669,2021-11-14,132050264.49091853
1636761600,245.4,264.11,251.23,257.74,443198.67673785,2021-11-13,114230026.94241346
1636675200,243.86,282.92,262.3,251.23,872535.61730782,2021-11-12,219207123.1362436
1636588800,250.61,274.27,260.17,262.3,629822.53674174,2021-11-11,165202451.3873584
1636502400,252.3,302.08,262.08,260.18,1432536.98780613,2021-11-10,372717473.4873989
1636416000,226.75,274.72,229.12,262.16,1335377.57431193,2021-11-09,350082584.8816156
1636329600,202.18,229.7,202.23,229.11,648494.43176405,2021-11-08,148576559.26146153
1636243200,197.12,202.28,197.8,202.23,193687.26843786,2021-11-07,39169376.29618843
1636156800,191.22,201.36,199.07,197.77,222980.0091007,2021-11-06,44098756.39984544
1636070400,196.87,203.48,202.78,199.13,258443.93790015,2021-11-05,51463941.354056865
1635984000,196.31,207.33,207.26,202.9,362029.63020698,2021-11-04,73455811.96899624
1635897600,197.51,209.44,201.07,207.31,491021.72313062,2021-11-03,101793713.42220885
1635811200,195.24,204.75,197.7,201.03,316484.83292612,2021-11-02,63622945.96313791
1635724800,188.02,201.31,192.01,197.65,340593.92941113,2021-11-01,67318390.14810985
1635638400,186.87,195.25,190.34,192.01,308056.28605002,2021-10-31,59149887.48446434
1635552000,186.68,197.38,196.73,190.38,278594.37062563,2021-10-30,53038796.27970744
1635465600,188.32,198.73,189.94,196.69,383850.93165483,2021-10-29,75499639.74718851
1635379200,177.73,194.6,179.27,189.89,490637.47110408,2021-10-28,93167149.38795374
1635292800,172.4,205.03,197.56,179.35,754514.95633572,2021-10-27,135322257.41881138
1635206400,190.26,199.36,195.47,197.51,261202.60003284,2021-10-26,51590125.53248623
1635120000,189.63,197.36,190.39,195.37,225589.79491642,2021-10-25,44073478.23282098
1635033600,185.23,199.9,196.35,190.48,261962.80913475,2021-10-24,49898675.88398717
1634947200,188.89,198.0,190.99,196.42,203866.54403645,2021-10-23,40043466.57963951
1634860800,187.97,201.47,196.82,190.98,311400.9715948,2021-10-22,59471357.5551749
1634774400,195.2,214.8,207.33,196.81,462642.63081892,2021-10-21,91052696.17147164
1634688000,185.69,209.64,188.73,207.32,446648.21098948,2021-10-20,92599107.102339
1634601600,183.17,191.62,185.59,188.73,266492.5028302,2021-10-19,50295130.05914365
1634515200,178.51,187.5,183.77,185.63,295595.9270615,2021-10-18,54871471.940426245
1634428800,176.56,188.0,186.0,183.73,224273.99013581,2021-10-17,41205860.20765237
1634342400,185.04,192.62,189.62,186.05,307473.77442814,2021-10-16,57205495.73235545
1634256000,176.61,192.84,181.47,189.63,460651.37552053,2021-10-15,87353320.3399581
1634169600,176.95,186.52,177.69,181.5,375167.41296209,2021-10-14,68092885.45261933
1634083200,167.61,179.66,172.62,177.61,341575.45483082,2021-10-13,60667216.53250194
1633996800,166.5,179.22,179.15,172.63,377752.48323672,2021-10-12,65211411.181154974
1633910400,172.41,185.34,174.78,179.2,303802.63035512,2021-10-11,54441431.3596375
1633824000,174.13,183.99,179.99,174.92,264105.74236132,2021-10-10,46197376.453842096
1633737600,174.44,182.9,175.97,180.0,222512.19464806,2021-10-09,40052195.0366508
1633651200,174.46,183.44,178.65,175.91,440256.91906559,2021-10-08,77445594.63282794
